"PP","Start.Date","Prior","Prior_cons","Post","Post_cons","GE_Worry","GE_PolSupport","GE_Intention","Justification","ManCheck1","ManCheck2","ManCheck3","ManCheckBP1","ManCheckBP2","ManCheckBP3","BE_useful","BE_apply","ME_fair","ME_biased","ME_trust","ME_accur","ME_wholeStory","ME_factual","ME_factOpinion","OMC1","OMC2","OMC3","OMC4","OMC5","AC","OMC6","TrustScientists","Perc_knowledge","Topic_importance","Pol_affil","Pol_ideo","Nationality","Relig","Nat_heur","Age","Gender_MC","Gender_text","Education","Condition","PP_DS","PPcons_DS","Prior_c","OMCscore","BEscore","MEscore","Pol_affil_n","Pol_ideo_n","Pol_orient","ReadTimeInf","ReadTime_Mes","PracticeClaim1","PracticeClaim2","PracticeClaim3","countPT","countMCBP","MCComb","Consensus_mention_auto","countMC_auto"
"305","14-10-19 12:12",63,40,26,69,3,5,6,"I think GE food is worse for health because it hasn't been fully tested.  Just because it's resistant to a fungus doesn't mean it retained all of its other health attributes.","I check to see if professionals in the same field back it up.","I look for actual numbers rather than subjective statements.","","","","",NA,NA,2,5,3,3,6,5,5,6,1,6,2,5,2,2,3,2,2,"Independent Lean Democrat","Liberal","United States of America","Yes",3,NA,NA,NA,"Secondary school / GCSE","Control",-37,29,12.2034820457018,2,NA,4.14285714285714,-0.570959121287871,-0.923237611897546,-1.49419673318542,23.175,156.848,"Yes","Yes","Yes",1,NA,"I check to see if professionals in the same field back it up. I look for actual numbers rather than subjective statements. ","n",1
"306","14-10-19 12:16",50,35,75,70,7,6,7,"The article was about the fruit surviving with genetic engineering, NOT about whether this was good for our health (staple food or not). I tend to feel that we don't know the adverse consequences about the genetically modified fruit. Only about the benefits.","research","Google","Read","","","",NA,NA,2,6,4,3,6,3,3,6,2,7,2,7,2,1,6,2,6,"Democrat","Liberal","United States of America","No",6,NA,NA,NA,"Graduate degree (MA/MSc/MPhil/other)","Control",25,35,-0.796517954298153,2.5,NA,3.85714285714286,-1.14191824257574,-0.923237611897546,-2.06515585447329,11.228,84.172,"Yes","Yes","Yes",1,NA,"research Google Read","n",0
"307","14-10-19 12:19",60,50,21,64,5,3,6,"I think it is too broad and would have liked to have had a more specific statement to agree more or less with.","source","relevancy","whether or not the claim seems likely","","","",NA,NA,4,5,3,3,5,3,5,7,1,7,2,6,2,1,5,2,5,"Independent Lean Democrat","Moderate","United States of America","No",6,NA,NA,NA,"College / A levels","Consensus",-39,14,9.20348204570185,2.66666666666667,NA,4,-0.570959121287871,0,-0.570959121287871,118.322,10.666,"No","No","Yes",3,NA,"source relevancy whether or not the claim seems likely","n",1
"308","14-10-19 12:18",20,39,-84,92,2,2,4,"After reading the article which explained that there is a general consensus among scientists the the food is safe I had to change my answer. They would know more than me about the safety of GRE food.","Does it sound right?","Are there facts available to back up the claim?","What is the source of the information?","","","",NA,NA,2,6,2,2,4,3,2,3,5,6,4,5,2,2,7,1,2,"Republican","Conservative","United States of America","No",6,NA,NA,NA,"College / A levels","Consensus",-104,53,-30.7965179542982,0.5,NA,3,1.14191824257574,0.923237611897546,2.06515585447329,14.089,86.901,"No","No","No",2,NA,"Does it sound right? Are there facts available to back up the claim? What is the source of the information?","n",1
"309","14-10-19 12:25",89,10,33,18,7,1,7,"I still don't believe that GE foods are safe, but I do see slightly more how they can provide a specific benefit in some cases","Consensus/Percentage of agreement","Expert commentary","Credible source","Vitamin supplements are good for your heart","It starts with a question - Evidence is gathered - A consensus develops - Evaluate a claim","The evidence is continuously discussed by scientists with the relevant expertise.",7,7,2,4,2,2,3,2,2,6,1,6,1,6,2,1,7,2,5,"Democrat","Liberal","United States of America","Yes",7,NA,NA,NA,"Graduate degree (MA/MSc/MPhil/other)","BoostPlus",-56,8,38.2034820457018,2.5,7,2.42857142857143,-1.14191824257574,-0.923237611897546,-2.06515585447329,124.816,30.063,"Yes","Yes","No",0,3,"Consensus/Percentage of agreement Expert commentary Credible source","y",3
"310","14-10-19 12:22",67,65,40,67,6,6,7,"I don't think adequate time has passed for sufficient research finding regarding long term exposure to GE foods.  Although short term consumption of GE foods seems okay, it's my opinion that only time will tell regarding long term use of such products.","Consider the source","Consider supporting and non-supporting evidence","Consider sources of evidence, then decide","Vitamin supplements are good for your heart","It starts with a question - Evidence is gathered - A consensus develops - Evaluate a claim","The evidence is continuously discussed by scientists with the relevant expertise.",6,6,4,4,5,4,4,4,4,5,4,6,4,5,2,3,3,3,6,"Strong Democrat","Liberal","United States of America","Yes",6,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","BoostPlus",-27,2,16.2034820457018,0.833333333333333,6,4.14285714285714,-1.71287736386361,-0.923237611897546,-2.63611497576116,79.912,76.562,"No","No","No",2,3,"Consider the source Consider supporting and non-supporting evidence Consider sources of evidence, then decide","n",1
"311","14-10-19 12:16",80,20,40,60,5,6,6,"I don't think enough tests are being run to make sure genetically engineered food is safe. I want to know what tests were done and how they were done to help me determine the safety of genetically engineered foods. Also, not everyone will respond the same when eating these foods due to medical issues or whatnot. I think food is best left alone and in its natural state.","common sense","reading news articles","past experience","","It starts with a question - Evidence is gathered - A consensus develops - Evaluate a claim","Science provides answers to every question that you can think of by gathering evidence.",5,6,3,5,3,3,6,3,4,6,1,6,2,5,2,3,5,3,4,"Independent","Moderate","United States of America","Yes",6,NA,NA,NA,"Secondary school / GCSE","BoostPlus",-40,40,29.2034820457018,1.83333333333333,5.5,3.85714285714286,0,0,0,320.493,229.274,"Yes","Yes","Yes",1,1,"common sense reading news articles past experience","n",0
"312","14-10-19 12:31",21,50,20,50,6,7,7,"I don't think it is necessary to use something unnatural which is why I pay attention to labels and only buy non-gmo or organic foods. It obviously won't kill you but that isn't good enough to make me buy GMO foods.","thorough online research (reputable sources only)","","","","","",NA,NA,4,4,4,4,4,4,4,7,1,7,1,7,2,1,4,5,6,"Democrat","Moderate","United States of America","Yes",7,NA,NA,NA,"No formal qualification","Control",-1,0,-29.7965179542982,3,NA,4,-1.14191824257574,0,-1.14191824257574,2.638,1.84,"Yes","No","No",1,NA,"thorough online research (reputable sources only)  ","n",1
"313","14-10-19 12:43",21,50,-2,92,5,3,5,"The news article made me think that maybe GE food is ok.  The article said that 92% (I think) of scientists support this view.  However I would have to learn more to drastically change my beliefs.  I generally trust science and scientists but this field is somewhat new and sometimes science holds onto erroneous beliefs for decades before it self corrects (the miasma theory is an example) so I will maintain my slightly skeptical view for now.","compare to previous knowlege","think about how trustworthy a source is","","","","",NA,NA,3,5,3,4,5,2,3,4,5,5,4,3,2,3,5,1,2,"Strong Democrat","Very liberal","United States of America","No",5,NA,NA,NA,"Secondary school / GCSE","Consensus",-23,42,-29.7965179542982,0,NA,3.57142857142857,-1.71287736386361,-1.84647522379509,-3.55935258765871,10.518,68.388,"No","No","No",2,NA,"compare to previous knowlege think about how trustworthy a source is ","n",1
"314","14-10-19 12:52",20,66,14,74,5,2,4,"The article showed an instance where genetically modifying bananas was beneficial in protecting them from a fungus. But GE could just as easily harm a plant or animal (or the plants that farm animals eat and are then passed on to humans). I also wonder why there are so many kids with food allergies nowadays compared to when I was a kid in the 1970s. I don't know if GE foods are responsible for this, but it should be looked into.","Where is the claim coming from?","Does it make sense?","What do other reputatble sources say about the claim?","","","",NA,NA,3,3,3,3,3,3,3,6,4,6,3,6,2,3,6,3,4,"Democrat","Liberal","United States of America","Yes",5,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Control",-6,8,-30.7965179542982,1.33333333333333,NA,3,-1.14191824257574,-0.923237611897546,-2.06515585447329,8.151,86.273,"No","No","Yes",3,NA,"Where is the claim coming from? Does it make sense? What do other reputatble sources say about the claim?","n",1
"315","14-10-19 12:54",59,72,-45,91,6,2,5,"I think some of the GE food is worse, processed foods that the body has a hard time digesting.","evaluate","think","conclusion","","","",NA,NA,2,2,3,2,4,2,1,6,2,6,2,5,2,1,6,2,5,"Independent","Moderate","United States of America","No",7,NA,NA,NA,"Secondary school / GCSE","Consensus",-104,19,8.20348204570185,2,NA,2.28571428571429,0,0,0,10.264,41.846,"Yes","No","Yes",2,NA,"evaluate think conclusion","n",0
"316","14-10-19 12:57",90,80,90,95,7,4,4,"My definition of health is different than many others, and personal health is only one reason to be against the furtherance of GE food","Read","Look for source","Consider the source","","","",NA,NA,4,3,3,3,4,2,2,4,7,4,4,5,2,3,4,3,3,"Independent Lean Democrat","Liberal","United States of America","No",2,NA,NA,NA,"Graduate degree (MA/MSc/MPhil/other)","Consensus",0,15,39.2034820457018,-0.166666666666667,NA,3,-0.570959121287871,-0.923237611897546,-1.49419673318542,16.65,83.632,"No","Yes","Yes",2,NA,"Read Look for source Consider the source","n",1
"317","14-10-19 12:56",84,28,85,28,7,7,7,"a kit if simple foods or snacks are made w ith GE>  Starburst jellybeans for example why does a simple candy needs GE?  The reason I believe is economics - it always comes back to making a larger profit.  It is far less expensive to made GE foods=like the fact there are so many foods made with high fructose corn syrup.  Why not just use sugar?  Greed factor","snopes","simple  logic","research","","","",NA,NA,3,6,4,4,6,4,6,7,6,7,5,7,2,3,4,6,7,"Independent Lean Democrat","Moderate","United States of America","No",6,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Control",1,0,33.2034820457018,1.16666666666667,NA,4.71428571428571,-0.570959121287871,0,-0.570959121287871,9.854,99.248,"No","No","No",2,NA,"snopes simple  logic research","n",0
"318","14-10-19 12:54",60,50,20,60,7,4,6,"Initially I gave a response of higher for genetically engineered food but after thinking about it and reading, I wonder if genetically engineered food might actually not be worse because scientists can modify and altar food to ensure vitamins and minerals are truly being consumed through the food as well as ensure that negative components such as potential carcinogens are not in the food. ","I read the facts","I research the information","I consult multiple sources to cross reference the information. ","Fruit can help prevent the common cold","It starts with a question - Evidence is gathered - A consensus develops - Evaluate a claim","The evidence is continuously discussed by scientists with the relevant expertise.",7,6,4,4,4,4,4,4,4,7,4,7,3,7,2,4,4,2,4,"Independent","Moderate","United States of America","Yes",5,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","BoostPlus",-40,10,9.20348204570185,1.66666666666667,6.5,4,0,0,0,129.783,449.512,"Yes","No","No",1,2,"I read the facts I research the information I consult multiple sources to cross reference the information. ","n",1
"319","14-10-19 13:17",80,50,29,62,4,5,6,"Anything that is changed in any way is worse than the normal organic product","Read","Check any facts","","","","",NA,NA,3,4,3,4,2,2,4,5,2,6,4,5,2,4,5,2,4,"Independent","Conservative","United States of America","Yes",7,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Control",-51,12,29.2034820457018,1,NA,3.14285714285714,0,0.923237611897546,0.923237611897546,23.41,39.248,"Yes","Yes","Yes",1,NA,"Read Check any facts ","n",0
"320","14-10-19 13:15",-96,7,-100,6,7,7,7,"I believe i mistakenly answered that and meant to say that genetically engineered is far worse than non.  i am a strong beliver that natural foods are what is meant for our bodies to be consumed and many illnesses and diseases are caused by non processed and non natural foods.","what are the facts","what are the studies done on it","and what do experts have to say","","","",NA,NA,3,2,3,2,5,6,4,6,2,6,2,6,2,6,6,4,7,"Independent","Moderate","United States of America","No",7,NA,NA,NA,"Graduate degree (MA/MSc/MPhil/other)","Consensus",-4,-1,-146.796517954298,1.33333333333333,NA,3.57142857142857,0,0,0,10.89,25.481,"No","No","No",2,NA,"what are the facts what are the studies done on it and what do experts have to say","n",1
"321","14-10-19 13:10",-38,78,33,84,2,4,3,"I think that most genetically engineered food would be at the same level of healthiness as non-GE food but still some could be more unhealthy.","Look for a general statement/idea","Check the source material ","See if the experts are credible","","","",NA,NA,2,6,5,2,1,4,3,5,3,5,5,3,2,4,3,5,3,"Independent Lean Republican","Moderate","United States of America","Yes",6,NA,NA,NA,"Secondary school / GCSE","Consensus",71,6,-88.7965179542982,0.166666666666667,NA,3.28571428571429,0.570959121287871,0,0.570959121287871,3.193,267.048,"No","No","Yes",3,NA,"Look for a general statement/idea Check the source material  See if the experts are credible","n",2
"322","14-10-19 13:19",40,30,-41,92,4,3,3,"I just feel like I'd have to do more personal research into this topic before being completely convinced. I know I can misinterpret things that I have a lack of expertise in. But I'd say if that many scientists and experts are saying it's okay it probably is I just don't feel 100% convinced yet.","Who is funding the study?","Who is managing the study?","How large is the pool of experts? 90% sounds good but what if its 90% of 5 total experts? People can twist things to achieve their own ends.","Vitamin supplements are good for your heart","It starts with a question - Evidence is gathered - A consensus develops - Evaluate a claim","The evidence is continuously discussed by scientists with the relevant expertise.",6,6,5,3,3,5,5,5,2,5,3,6,4,6,2,3,5,2,3,"Independent","Moderate","United States of America","No",5,NA,NA,NA,"Secondary school / GCSE","BoostPlus",-81,62,-10.7965179542982,1.16666666666667,6,4,0,0,0,183.578,117.244,"No","No","No",2,3,"Who is funding the study? Who is managing the study? How large is the pool of experts? 90% sounds good but what if its 90% of 5 total experts? People can twist things to achieve their own ends.","n",1
"323","14-10-19 13:49",0,54,6,61,7,4,6,"i wasn't really sure i would have to have more reading material and research done  ","n/a","","","","It starts with a question - Evidence is gathered - A consensus develops - Evaluate a claim","I don’t know",7,6,1,4,1,2,4,4,4,7,4,7,6,4,2,5,6,5,5,"Democrat","Moderate","United States of America","No",4,NA,NA,NA,"Secondary school / GCSE","BoostPlus",6,7,-50.7965179542982,0.5,6.5,2.85714285714286,-1.14191824257574,0,-1.14191824257574,106.302,70.899,"No","No","Yes",3,1,"n/a  ","n",0
"324","14-10-19 13:57",70,20,75,25,7,7,7,"we know that adding anything extra to our food is not good for our health.","use my knowledge of subject","google","","","","",NA,NA,4,7,7,7,7,7,7,7,1,7,1,7,2,1,5,4,5,"Strong Democrat","Liberal","United States of America","No",6,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Control",5,5,19.2034820457018,3,NA,6.57142857142857,-1.71287736386361,-0.923237611897546,-2.63611497576116,9.29,78.753,"Yes","Yes","Yes",1,NA,"use my knowledge of subject google ","n",0
"325","14-10-19 14:04",90,90,50,93,6,6,6,"I am a moderate type of person. So i put myself in the middle of the pack. I came down 40 points after reading the article. I am not an expert on this topic, but feel that playing with mother nature can be tricky.","science","research","test","","","",NA,NA,5,5,5,5,6,5,5,6,4,6,4,5,2,4,4,2,5,"Independent","Moderate","United States of America","No",7,NA,NA,NA,"Secondary school / GCSE","Consensus",-40,3,39.2034820457018,0.833333333333333,NA,5.14285714285714,0,0,0,20.869,139.665,"Yes","No","Yes",2,NA,"science research test","n",0
"326","14-10-19 14:28",100,9,100,95,7,7,4,"I feel that if food is genetically modified it can cause illnesses. We didn't have GE food way back then. GE foods could cause incurable illnesses. ","Read a book.","Watch the news.","Research websites. ","","","",NA,NA,4,3,5,4,4,4,3,5,2,5,4,5,2,6,4,4,7,"Democrat","Liberal","United States of America","No",7,NA,NA,NA,"Secondary school / GCSE","Consensus",0,86,49.2034820457018,0.5,NA,3.85714285714286,-1.14191824257574,-0.923237611897546,-2.06515585447329,21.958,164.758,"No","No","No",2,NA,"Read a book. Watch the news. Research websites. ","n",0
"327","14-10-19 14:27",86,76,75,80,6,5,7,"to me that means it's fake and is made in a lab and not the regular way","google","books","sites","","","",NA,NA,4,3,4,4,4,4,4,6,2,6,2,7,2,4,4,2,5,"Democrat","Liberal","United States of America","Yes",6,NA,NA,NA,"College / A levels","Control",-11,4,35.2034820457018,1.83333333333333,NA,3.85714285714286,-1.14191824257574,-0.923237611897546,-2.06515585447329,119.501,115.233,"Yes","Yes","No",0,NA,"google books sites","n",0
"328","14-10-19 14:42",40,19,20,72,7,5,5,"Yes, I am worried about what they are adding to the bananas to make them withstand being exposed to a virus.  When I ingest them, is that harmful to my body?","see if it is just someones oppinion","read the facts","consider both sides","","","",NA,NA,2,5,3,3,6,2,2,7,1,7,1,7,2,1,3,2,6,"Republican","Moderate","United States of America","Yes",6,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Control",-20,53,-10.7965179542982,3,NA,3.28571428571429,1.14191824257574,0,1.14191824257574,11.861,387.544,"No","No","No",2,NA,"see if it is just someones oppinion read the facts consider both sides","n",0
"329","14-10-19 14:55",74,50,12,95,6,5,6,"i just cant think it could be good for you when they alter its natural state. Many things they think aren't harmful turn out to be years later....like baby powder..lol","listen and think","research","decide","Vitamin supplements are good for your heart","It starts with a question - Evidence is gathered - A consensus develops - Evaluate a claim","The evidence is continuously discussed by scientists with the relevant expertise.",7,6,1,5,2,3,4,2,2,6,1,5,5,7,2,1,6,3,5,"Republican","Conservative","United States of America","Yes",6,NA,NA,NA,"College / A levels","BoostPlus",-62,45,23.2034820457018,1.83333333333333,6.5,2.71428571428571,1.14191824257574,0.923237611897546,2.06515585447329,139.413,55.83,"Yes","Yes","No",0,3,"listen and think research decide","n",0
"330","14-10-19 14:59",41,80,62,80,5,6,6,"Any time we try to mess with mother nature and change what is natural, we are asking for problems. Leave the natural process of things alone. ","do a search on google to see if the claim is valid","Check the data to back up the claim ","","","","",NA,NA,4,2,5,5,6,5,4,6,2,6,2,5,2,1,3,4,5,"Republican","Conservative","United States of America","Yes",6,NA,NA,NA,"College / A levels","Consensus",21,0,-9.79651795429815,2,NA,4.42857142857143,1.14191824257574,0.923237611897546,2.06515585447329,28.926,118.592,"Yes","Yes","No",0,NA,"do a search on google to see if the claim is valid Check the data to back up the claim  ","n",0
"331","14-10-19 15:06",41,26,20,16,7,6,5,"I personally feel like everything on this earth especially man made is not good for your health so eating GE food is definitely not healthier but it will not kill you more so than non-GE food. It is all based on a number of factors and reducing your intake of these types of foods.","read","reread","comprehend and analyze","","","",NA,NA,4,4,4,4,4,4,4,5,5,6,5,6,2,3,4,1,4,"Independent Lean Democrat","Liberal","United States of America","Yes",6,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Consensus",-21,-10,-9.79651795429815,0.666666666666667,NA,4,-0.570959121287871,-0.923237611897546,-1.49419673318542,13.9,21.926,"No","Yes","No",1,NA,"read reread comprehend and analyze","n",0
"332","14-10-19 14:47",92,5,60,10,2,5,4,"I have heard throughout my life that using chemicals, specifically HGH is bad for your health when consumed in food","Does it seem true?","Does it sound right?","Does it make sense?","","","",NA,NA,2,2,1,1,1,1,1,6,2,7,1,7,2,2,7,2,4,"Strong Democrat","Very liberal","United States of America","No",4,NA,NA,NA,"Secondary school / GCSE","Control",-32,5,41.2034820457018,2.5,NA,1.28571428571429,-1.71287736386361,-1.84647522379509,-3.55935258765871,3.806,50.548,"Yes","No","No",1,NA,"Does it seem true? Does it sound right? Does it make sense?","n",0
"333","14-10-19 14:40",53,28,30,95,5,5,4,"I don't believe there has a been a long term study of the safety of GMOs.  ","First look up who is making the claim","See if it's widely accepted","Look for oppositional statements","Vitamin supplements are good for your heart","It starts with a question - Evidence is gathered - A consensus develops - Evaluate a claim","The evidence is continuously discussed by scientists with the relevant expertise.",5,6,3,4,3,3,6,4,4,6,2,6,4,6,2,4,5,4,4,"Democrat","Liberal","United States of America","No",1,NA,NA,NA,"College / A levels","BoostPlus",-23,67,2.20348204570185,1.33333333333333,5.5,3.85714285714286,-1.14191824257574,-0.923237611897546,-2.06515585447329,380.759,97.613,"No","Yes","Yes",2,3,"First look up who is making the claim See if it's widely accepted Look for oppositional statements","n",1
"334","14-10-19 15:22",100,30,68,40,7,4,4,"I feel like if its more unnatural than it already is by being used in cooking, it does not help us as much as it could. Taking away some bad things but also the good.","evaluate (it is from a science company?)","consesus (Was it by a dr?)","Was is Prof? 9/10?","Vitamin supplements are good for your heart","Introduction - Conducting research - Selecting the results - Making a consensus","A good way to distinguish facts from fiction is searching for relevant information online.",5,5,1,4,3,3,3,3,4,7,4,6,4,5,2,3,7,3,4,"Strong Democrat","Liberal","United States of America","No",7,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","BoostPlus",-32,10,49.2034820457018,1.16666666666667,5,3,-1.71287736386361,-0.923237611897546,-2.63611497576116,34.549,24.751,"Yes","Yes","Yes",1,1,"evaluate (it is from a science company?) consesus (Was it by a dr?) Was is Prof? 9/10?","y",1
"336","14-10-19 15:34",77,49,-50,52,7,7,7,"It really depends on what research you're looking at and there's no clear-cut answer","who is saying it","what information they have","if studies are referenced","","","",NA,NA,4,2,4,4,4,3,4,6,6,6,3,6,2,5,1,5,7,"Independent","Very liberal","United States of America","No",4,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Consensus",-127,3,26.2034820457018,0.666666666666667,NA,3.57142857142857,0,-1.84647522379509,-1.84647522379509,6.6,17.972,"Yes","Yes","Yes",1,NA,"who is saying it what information they have if studies are referenced","n",1
"337","14-10-19 15:43",-27,44,-69,94,6,5,6,"I just do not trust a lot of government agencies.  It is so confusing as to what scientific agencies are aligned with the government.  I just believe normally grown food is better for you than anything that man is created.  Man will always try to put profit over health.","I research the internet and try to find a consensus on a claim.","I try to see if the people making the claims are credible.","I dont really have another step","Vitamin supplements are good for your heart","Introduction - Conducting research - Selecting the results - Making a consensus","I don’t know",4,6,1,2,4,3,3,3,2,6,5,4,5,4,2,3,4,1,2,"Democrat","Liberal","United States of America","No",6,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","BoostPlus",-42,50,-77.7965179542982,0.166666666666667,5,2.57142857142857,-1.14191824257574,-0.923237611897546,-2.06515585447329,48.385,34.184,"No","No","No",2,1,"I research the internet and try to find a consensus on a claim. I try to see if the people making the claims are credible. I dont really have another step","y",1
"338","14-10-19 15:54",37,72,69,77,7,6,4,"My own research and my ideal theory on it and the news messages shown make me believe that its somewhat pretty true about it being worse for your health so i picked around 69%","research on google ","look for other articles for places i trust and are reputable ","","","","",NA,NA,1,4,2,2,2,2,6,7,7,7,6,5,2,2,6,4,5,"Democrat","Conservative","United States of America","Yes",7,NA,NA,NA,"Secondary school / GCSE","Control",32,5,-13.7965179542982,0.666666666666667,NA,2.71428571428571,-1.14191824257574,0.923237611897546,-0.218680630678197,5.879,18.351,"Yes","Yes","Yes",1,NA,"research on google  look for other articles for places i trust and are reputable  ","n",0
"339","14-10-19 15:52",1,50,0,50,1,1,1,"I don't know much about the topic, so I'm not sure whether genetically engineered food is worse for your health than non-GE food. I haven't been able to do adequate research into the subject, and therefore would not like to make any claims until I am able to do so.  ","Research the topic","Validate the credibility of the author","Validate the credibility of the source (website, newspaper, etc.)","","","",NA,NA,4,6,4,3,5,4,6,7,6,7,6,7,2,6,7,1,5,"Strong Democrat","Very liberal","United States of America","Yes",4,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Control",-1,0,-49.7965179542982,0.5,NA,4.57142857142857,-1.71287736386361,-1.84647522379509,-3.55935258765871,6.932,52.231,"No","No","Yes",3,NA,"Research the topic Validate the credibility of the author Validate the credibility of the source (website, newspaper, etc.)","n",1
"340","14-10-19 15:51",23,44,21,70,5,2,5,"I'm not sure what the answer is but leaning towards believing GE foods are not better for your health.","do own research","rely on multiple sources","use own common sense","","","",NA,NA,1,1,2,2,4,3,2,6,2,6,6,6,2,2,4,2,4,"Independent Lean Republican","Conservative","United States of America","Yes",6,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Control",-2,26,-27.7965179542982,1.33333333333333,NA,2.14285714285714,0.570959121287871,0.923237611897546,1.49419673318542,8.457,103.211,"No","Yes","Yes",2,NA,"do own research rely on multiple sources use own common sense","n",1
"341","14-10-19 15:53",-1,73,-38,69,3,1,1,"I really think it is an unknown field that lacks adequate study.  It is hard to say yes or no.  So the lack of study makes me worry that it is harmful","Source material","Literacy, depth, intelligence of article","Multiple sources","","","",NA,NA,1,3,2,2,2,2,1,5,2,5,6,3,2,5,7,2,2,"Democrat","Liberal","United States of America","No",6,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Consensus",-37,-4,-51.7965179542982,0,NA,1.85714285714286,-1.14191824257574,-0.923237611897546,-2.06515585447329,7.252,69.531,"Yes","Yes","Yes",1,NA,"Source material Literacy, depth, intelligence of article Multiple sources","n",1
"342","14-10-19 15:55",83,75,0,50,6,6,6,"Any food that is not naturally produced can't be good for one's health ","evidence","","","","","",NA,NA,4,4,4,4,4,4,4,7,4,7,2,6,2,1,6,4,4,"Independent","Moderate","United States of America","No",4,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Control",-83,-25,32.2034820457018,2.16666666666667,NA,4,0,0,0,6.368,52.826,"No","No","No",2,NA,"evidence  ","n",0
"343","14-10-19 15:55",20,30,-41,50,3,3,4,"It would seem genetically engineered food is worse because it's not natural. ","Read claim","Evaluate percentages of claim","Look for nay inconsistencies in claim ","","","",NA,NA,3,3,5,3,2,1,1,7,1,6,1,6,2,1,6,2,3,"Strong Democrat","Liberal","United States of America","No",6,NA,NA,NA,"College / A levels","Control",-61,20,-30.7965179542982,2.66666666666667,NA,2.57142857142857,-1.71287736386361,-0.923237611897546,-2.63611497576116,8.378,41.496,"Yes","No","Yes",2,NA,"Read claim Evaluate percentages of claim Look for nay inconsistencies in claim ","y",1
"344","14-10-19 15:52",90,30,90,30,6,6,6,"Genetically engineered food is altered. I believe nutrients can be stripped from the process. I can't imagine that a food that is altered is any better than a naturally grown food.","Determine the audience","Evaluate the source's source/identify bias","Research claim on both sides (pro and con)","","","",NA,NA,4,4,4,4,4,4,4,6,1,7,3,6,2,2,4,2,4,"Strong Republican","Very conservative","United States of America","Yes",6,NA,NA,NA,"Graduate degree (MA/MSc/MPhil/other)","Consensus",0,0,39.2034820457018,2.16666666666667,NA,4,1.71287736386361,1.84647522379509,3.55935258765871,10.821,47.075,"No","No","No",2,NA,"Determine the audience Evaluate the source's source/identify bias Research claim on both sides (pro and con)","n",1
"346","14-10-19 15:55",20,80,20,81,5,4,7,"It would depend on what they use it for.  If it is just used to make a hybrid of the same species then it would probably be ok but if they use it to put stem cells or human cells in plants or animals then it would not.","Google it","Read many articles","Find a reputable source that I trust.","","","",NA,NA,1,1,2,3,4,3,2,6,2,7,5,7,2,1,6,2,3,"Independent","Moderate","United States of America","No",6,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","Control",0,1,-30.7965179542982,2,NA,2.28571428571429,0,0,0,8.382,77.657,"No","No","No",2,NA,"Google it Read many articles Find a reputable source that I trust.","n",1
"347","14-10-19 15:55",20,87,-82,92,2,2,2,"When I hear the term 'engineered' in the context of food, it makes me think of something that is unnatural. Growing up, I was always told natural foods are better than 'processed' ones, so the word 'engineered' has a negative connotation to me.","Look at source","Evaluate legitimacy of speaker","","Vitamin supplements are good for your heart","It starts with a question - Evidence is gathered - A consensus develops - Evaluate a claim","The evidence is continuously discussed by scientists with the relevant expertise.",7,7,1,2,2,1,4,2,4,7,1,7,4,5,2,2,7,1,3,"Strong Democrat","Very liberal","United States of America","Yes",7,NA,NA,NA,"Secondary school / GCSE","BoostPlus",-102,5,-30.7965179542982,2,7,2.28571428571429,-1.71287736386361,-1.84647522379509,-3.55935258765871,96.318,72.377,"No","No","Yes",3,3,"Look at source Evaluate legitimacy of speaker ","n",1
"348","14-10-19 15:55",21,39,21,86,5,4,5,"there are too many unknowns that could emerge once the gmos are in wide use","look for consensus","look for claiments expertise","","Vitamin supplements are good for your heart","It starts with a question - Evidence is gathered - A consensus develops - Evaluate a claim","The evidence is continuously discussed by scientists with the relevant expertise.",6,6,2,3,3,2,3,2,2,6,2,7,2,2,2,1,6,5,5,"Strong Democrat","Very liberal","United States of America","No",5,NA,NA,NA,"Undergraduate degree (BA/BSc/other)","BoostPlus",0,47,-29.7965179542982,1.66666666666667,6,2.42857142857143,-1.71287736386361,-1.84647522379509,-3.55935258765871,18.065,42.101,"No","No","Yes",3,3,"look for consensus look for claiments expertise ","y",2
